NMeta,Pi,Time
201,3.1400056000,0.004915829
202,3.1415632000,0.002539673
203,3.1406584000,0.004776738
204,3.1417208000,0.011678541
205,3.1430840000,0.014268027
206,3.1422200000,0.018295290
207,3.1417112000,0.015772609
208,3.1416096000,0.019155544
209,3.1432440000,0.016812389
210,3.1415568000,0.012106935
211,3.1413192000,0.017524325
212,3.1407944000,0.016593258
213,3.1408768000,0.018996215
214,3.1415072000,0.019187924
215,3.1420536000,0.015510779
216,3.1408880000,0.012472600
217,3.1415152000,0.016159925
218,3.1409328000,0.016027448
219,3.1400328000,0.017030779
220,3.1409664000,0.014939867
221,3.1408424000,0.017490370
222,3.1421552000,0.014021115
223,3.1422656000,0.013984707
224,3.1429752000,0.015003497
225,3.1415288000,0.014380258
226,3.1427640000,0.014733280
227,3.1421480000,0.012452183
228,3.1407896000,0.018105925
229,3.1411760000,0.016484194
230,3.1420136000,0.014114389
231,3.1420648000,0.015880301
232,3.1405824000,0.016703294
233,3.1415744000,0.017160231
234,3.1416128000,0.015135054
235,3.1423840000,0.016697113
236,3.1406792000,0.017795533
237,3.1407384000,0.015217668
238,3.1399600000,0.015401904
239,3.1412312000,0.016400877
240,3.1424992000,0.014279790
241,3.1419496000,0.015165070
242,3.1420304000,0.015554711
243,3.1414424000,0.015189125
244,3.1422248000,0.014775339
245,3.1408056000,0.015355617
246,3.1401264000,0.014790037
247,3.1413464000,0.016035012
248,3.1414656000,0.015013145
249,3.1427648000,0.014762565
250,3.1413672000,0.017718469
251,3.1409304000,0.017018726
252,3.1413968000,0.016680592
253,3.1413232000,0.014410034
254,3.1411984000,0.016364118
255,3.1415368000,0.017652435
256,3.1414744000,0.013548328
257,3.1395088000,0.008876988
258,3.1415752000,0.002749005
259,3.1400280000,0.002541757
260,3.1412104000,0.002331332
261,3.1416880000,0.002245281
262,3.1415640000,0.002346691
263,3.1423280000,0.002182463
264,3.1424272000,0.002216807
265,3.1410976000,0.002348535
266,3.1407632000,0.002220704
267,3.1401992000,0.002372670
268,3.1420096000,0.002217980
269,3.1415056000,0.002217077
270,3.1418416000,0.002351620
271,3.1430280000,0.002202340
272,3.1419648000,0.002204905
273,3.1424176000,0.002331382
274,3.1432480000,0.002133231
275,3.1413864000,0.002315482
276,3.1418816000,0.002213702
277,3.1407888000,0.002203422
278,3.1409008000,0.002310363
279,3.1415792000,0.002162866
280,3.1424736000,0.002205186
281,3.1419984000,0.002333967
282,3.1420232000,0.002204284
283,3.1399456000,0.002250821
284,3.1422304000,0.002214172
285,3.1412456000,0.002197682
286,3.1412264000,0.002319780
287,3.1406000000,0.002210135
288,3.1413136000,0.002207380
289,3.1424056000,0.002383760
290,3.1405856000,0.002211978
291,3.1425088000,0.002218189
292,3.1411320000,0.002331864
293,3.1428424000,0.002210094
294,3.1407104000,0.002305514
295,3.1409752000,0.002117932
296,3.1411680000,0.002223169
297,3.1408456000,0.002347693
298,3.1417472000,0.002225383
299,3.1405936000,0.002215265
300,3.1430000000,0.002328797
301,3.1423624000,0.002249258
302,3.1415192000,0.002305053
303,3.1415080000,0.002121338
304,3.1410696000,0.002203202
305,3.1417208000,0.002351761
306,3.1411096000,0.002202240
307,3.1427000000,0.002207770
308,3.1415912000,0.002360086
309,3.1422672000,0.002204595
310,3.1409848000,0.002202290
311,3.1410624000,0.002333005
312,3.1411736000,0.002206869
313,3.1431040000,0.002319600
314,3.1413304000,0.002202851
315,3.1430368000,0.002207530
316,3.1416400000,0.002352843
317,3.1412600000,0.002196659
318,3.1406392000,0.002330300
319,3.1407232000,0.002207811
