"N","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","sum(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","sum(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","sum(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","sum(U (Magnitude))","min(p)","q1(p)","med(p)","q3(p)","max(p)","avg(p)","std(p)","sum(p)","min(rho)","q1(rho)","med(rho)","q3(rho)","max(rho)","avg(rho)","std(rho)","sum(rho)","min(vtkValidPointMask)","q1(vtkValidPointMask)","med(vtkValidPointMask)","q3(vtkValidPointMask)","max(vtkValidPointMask)","avg(vtkValidPointMask)","std(vtkValidPointMask)","sum(vtkValidPointMask)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","sum(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","sum(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","sum(Z)","vtkValidPointMask","Time"
1,17.83242416,17.83242416,17.83242416,17.83242416,17.83242416,17.83242416,0,17.83242416,1.559478164e-07,1.559478164e-07,1.559478164e-07,1.559478164e-07,1.559478164e-07,1.559478164e-07,0,1.559478164e-07,0,0,0,0,0,0,0,0,17.83242416,17.83242416,17.83242416,17.83242416,17.83242416,17.83242416,0,17.83242416,330381.4375,330381.4375,330381.4375,330381.4375,330381.4375,330381.4375,0,330381.4375,1000.102478,1000.102478,1000.102478,1000.102478,1000.102478,1000.102478,0,1000.102478,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.000105
1,18.1222744,18.1222744,18.1222744,18.1222744,18.1222744,18.1222744,0,18.1222744,-2.148935891e-07,-2.148935891e-07,-2.148935891e-07,-2.148935891e-07,-2.148935891e-07,-2.148935891e-07,0,-2.148935891e-07,0,0,0,0,0,0,0,0,18.1222744,18.1222744,18.1222744,18.1222744,18.1222744,18.1222744,0,18.1222744,255490,255490,255490,255490,255490,255490,0,255490,1000.070007,1000.070007,1000.070007,1000.070007,1000.070007,1000.070007,0,1000.070007,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.00011
1,18.34772491,18.34772491,18.34772491,18.34772491,18.34772491,18.34772491,0,18.34772491,-3.486426294e-07,-3.486426294e-07,-3.486426294e-07,-3.486426294e-07,-3.486426294e-07,-3.486426294e-07,0,-3.486426294e-07,0,0,0,0,0,0,0,0,18.34772491,18.34772491,18.34772491,18.34772491,18.34772491,18.34772491,0,18.34772491,201316.875,201316.875,201316.875,201316.875,201316.875,201316.875,0,201316.875,1000.047546,1000.047546,1000.047546,1000.047546,1000.047546,1000.047546,0,1000.047546,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.000115
1,18.52687454,18.52687454,18.52687454,18.52687454,18.52687454,18.52687454,0,18.52687454,-3.313208765e-07,-3.313208765e-07,-3.313208765e-07,-3.313208765e-07,-3.313208765e-07,-3.313208765e-07,0,-3.313208765e-07,0,0,0,0,0,0,0,0,18.52687454,18.52687454,18.52687454,18.52687454,18.52687454,18.52687454,0,18.52687454,161500.0938,161500.0938,161500.0938,161500.0938,161500.0938,161500.0938,0,161500.0938,1000.029785,1000.029785,1000.029785,1000.029785,1000.029785,1000.029785,0,1000.029785,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.00012
1,18.67947578,18.67947578,18.67947578,18.67947578,18.67947578,18.67947578,0,18.67947578,-1.944174528e-06,-1.944174528e-06,-1.944174528e-06,-1.944174528e-06,-1.944174528e-06,-1.944174528e-06,0,-1.944174528e-06,0,0,0,0,0,0,0,0,18.67947578,18.67947578,18.67947578,18.67947578,18.67947578,18.67947578,0,18.67947578,143263.2812,143263.2812,143263.2812,143263.2812,143263.2812,143263.2812,0,143263.2812,1000.020752,1000.020752,1000.020752,1000.020752,1000.020752,1000.020752,0,1000.020752,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.000125
1,18.84745026,18.84745026,18.84745026,18.84745026,18.84745026,18.84745026,0,18.84745026,1.651217758e-06,1.651217758e-06,1.651217758e-06,1.651217758e-06,1.651217758e-06,1.651217758e-06,0,1.651217758e-06,0,0,0,0,0,0,0,0,18.84745026,18.84745026,18.84745026,18.84745026,18.84745026,18.84745026,0,18.84745026,178943.8125,178943.8125,178943.8125,178943.8125,178943.8125,178943.8125,0,178943.8125,1000.032532,1000.032532,1000.032532,1000.032532,1000.032532,1000.032532,0,1000.032532,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.00013
1,19.11352539,19.11352539,19.11352539,19.11352539,19.11352539,19.11352539,0,19.11352539,1.186756435e-06,1.186756435e-06,1.186756435e-06,1.186756435e-06,1.186756435e-06,1.186756435e-06,0,1.186756435e-06,0,0,0,0,0,0,0,0,19.11352539,19.11352539,19.11352539,19.11352539,19.11352539,19.11352539,0,19.11352539,319434.5,319434.5,319434.5,319434.5,319434.5,319434.5,0,319434.5,1000.099976,1000.099976,1000.099976,1000.099976,1000.099976,1000.099976,0,1000.099976,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.000135
1,19.58769989,19.58769989,19.58769989,19.58769989,19.58769989,19.58769989,0,19.58769989,-8.956416423e-06,-8.956416423e-06,-8.956416423e-06,-8.956416423e-06,-8.956416423e-06,-8.956416423e-06,0,-8.956416423e-06,0,0,0,0,0,0,0,0,19.58769989,19.58769989,19.58769989,19.58769989,19.58769989,19.58769989,0,19.58769989,583634.9375,583634.9375,583634.9375,583634.9375,583634.9375,583634.9375,0,583634.9375,1000.220032,1000.220032,1000.220032,1000.220032,1000.220032,1000.220032,0,1000.220032,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.00014
1,20.3491497,20.3491497,20.3491497,20.3491497,20.3491497,20.3491497,0,20.3491497,1.446101123e-05,1.446101123e-05,1.446101123e-05,1.446101123e-05,1.446101123e-05,1.446101123e-05,0,1.446101123e-05,0,0,0,0,0,0,0,0,20.3491497,20.3491497,20.3491497,20.3491497,20.3491497,20.3491497,0,20.3491497,906256.6875,906256.6875,906256.6875,906256.6875,906256.6875,906256.6875,0,906256.6875,1000.367554,1000.367554,1000.367554,1000.367554,1000.367554,1000.367554,0,1000.367554,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.000145
1,21.38248062,21.38248062,21.38248062,21.38248062,21.38248062,21.38248062,0,21.38248062,-1.768322363e-05,-1.768322363e-05,-1.768322363e-05,-1.768322363e-05,-1.768322363e-05,-1.768322363e-05,0,-1.768322363e-05,0,0,0,0,0,0,0,0,21.38248062,21.38248062,21.38248062,21.38248062,21.38248062,21.38248062,0,21.38248062,1159499,1159499,1159499,1159499,1159499,1159499,0,1159499,1000.47998,1000.47998,1000.47998,1000.47998,1000.47998,1000.47998,0,1000.47998,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.00015
